                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3085,                 1.8194,                 1.3397,                0.84246,                0.56936,                0.66348,                 0.4318,                 1.2363,                 1.0336,                 1.2565,              0.0003327,              0.0003327,              0.0003327
                      2,                 1.2403,                 1.1607,                 1.3061,                0.84558,                0.65185,                0.77983,                0.51153,                 1.1691,                0.93475,                 1.2456,             0.00060009,             0.00060009,             0.00060009
                      3,                 1.2019,                0.97213,                 1.2871,                0.88244,                0.67484,                0.83372,                0.55481,                 1.1946,                0.88499,                 1.2559,             0.00080149,             0.00080149,             0.00080149
                      4,                 1.1522,                0.87968,                 1.2549,                0.82484,                0.78788,                0.85744,                0.60122,                 1.0975,                0.78025,                 1.1859,               0.000703,               0.000703,               0.000703
                      5,                 1.1088,                0.80779,                 1.2292,                0.85407,                0.79131,                 0.8903,                0.63975,                 1.0434,                0.73696,                  1.154,               0.000604,               0.000604,               0.000604
                      6,                 1.0461,                0.73286,                 1.1851,                0.81006,                0.85385,                0.90543,                0.66142,                 1.0351,                0.70613,                 1.1457,               0.000505,               0.000505,               0.000505
                      7,                 1.0068,                0.68256,                 1.1594,                 0.8465,                0.87618,                0.91784,                0.68147,                0.96353,                0.66221,                 1.1038,               0.000406,               0.000406,               0.000406
                      8,                0.95856,                0.63691,                 1.1333,                0.85051,                0.86832,                0.90876,                 0.6862,                0.93308,                0.60991,                  1.084,               0.000307,               0.000307,               0.000307
                      9,                0.91296,                0.59508,                 1.1059,                0.86406,                0.88953,                 0.9307,                0.70638,                0.91839,                0.60023,                 1.0708,               0.000208,               0.000208,               0.000208
                     10,                0.87821,                0.56471,                 1.0879,                0.86061,                0.89725,                0.93607,                0.73323,                0.88745,                 0.5809,                 1.0548,               0.000109,               0.000109,               0.000109
